,Numero_de_Productos_Ordenados,ID,Lista_de_Volumenes_de_Productos,Volumen_Total
13918,1,[34374],[0.053006],0.053006
13919,1,[17235],[0.00058347],0.00058347
13920,1,[24335],[0.0001],0.0001
13921,1,[48022],[0.39166253],0.39166253
13922,1,[34266],[0.24861992],0.24861992
13923,1,[31446],[0.00029],0.00029
13924,1,[34301],[0.001252],0.001252
13925,2,"[23292, 26955]","[0.00642, 0.0035158]",0.0099358
13926,1,[35230],[0.031977],0.031977
13927,1,[17775],[0.026416],0.026416
13928,2,"[47938, 50474]","[0.006222, 0.0702546]",0.0764766
13929,1,[36024],[0.0009568],0.0009568
13930,1,[48022],[0.39166253],0.39166253
13931,1,[34696],[0.000322],0.000322
13932,1,[44816],[0.020121],0.020121
13933,1,[40436],[0.000216],0.000216
13934,1,[19488],[0.017281],0.017281
13935,1,[23928],[0.62437233],0.62437233
13936,1,[23292],[0.00642],0.00642
13937,1,[28021],[0.001],0.001
13938,1,[17499],[0.2248],0.2248
13939,1,[30541],[0.00288],0.00288
13940,2,"[17153, 47240]","[0.537464, 2.56986114]",3.10732514
13941,1,[35622],[0.0009568],0.0009568
13942,1,[17165],[0.0009568],0.0009568
13943,1,[34628],[0.00498],0.00498
13944,1,[36065],[0.0070502],0.0070502
13945,1,[52888],[0.54216475],0.54216475
13946,1,[37705],[0.03],0.03
13947,1,[6373],[0.001],0.001
13948,1,[2808],[0.00056],0.00056
13949,1,[34486],[0.00642],0.00642
13950,1,[46817],[0.04576],0.04576
13951,1,[37852],[0.0791],0.0791
13952,1,[34089],[0.00863],0.00863
13953,1,[17515],[0.0001],0.0001
13954,1,[25344],[1.29],1.29
13955,1,[17387],[0.0001],0.0001
13956,1,[35440],[0.001],0.001
13957,1,[37538],[0.001826],0.001826
13958,1,[21794],[0.086225],0.086225
13959,1,[40600],[0.0009958],0.0009958
13960,1,[35199],[0.00053854],0.00053854
13961,1,[18790],[0.00434296],0.00434296
13962,1,[34301],[0.001252],0.001252
13963,1,[34312],[0.09482638],0.09482638
13964,2,"[17186, 5667]","[0.39698326, 0.01277]",0.40975326
13965,1,[17961],[0.0001],0.0001
13966,1,[47240],[2.56986114],2.56986114
13967,1,[35148],[0.005304],0.005304
13968,1,[371],[0.07844938],0.07844938
13969,1,[34361],[1.276e-05],1.276e-05
13970,1,[17658],[0.0009568],0.0009568
13971,1,[30777],[0.0001],0.0001
13972,1,[34312],[0.09482638],0.09482638
13973,1,[34068],[5.08e-06],5.08e-06
13974,1,[34632],[0.00052922],0.00052922
13975,1,[20196],[0.119167],0.119167
13976,1,[24337],[6.135e-05],6.135e-05
13977,1,[39532],[0.08],0.08
13978,1,[3283],[0.0035158],0.0035158
13979,1,[47287],[0.001],0.001
13980,1,[18535],[0.006904],0.006904
13981,1,[17386],[0.021952],0.021952
13982,1,[40443],[0.0001],0.0001
13983,1,[45557],[0.02987],0.02987
13984,1,[17128],[0.00035347],0.00035347
13985,1,[27270],[0.000676],0.000676
13986,1,[34299],[0.0009568],0.0009568
13987,1,[23398],[0.020912],0.020912
13988,1,[46048],[0.30705],0.30705
13989,1,[19245],[0.006222],0.006222
13990,1,[17427],[0.0321],0.0321
13991,1,[16996],[0.00345244],0.00345244
13992,1,[37051],[0.141674],0.141674
13993,1,[47224],[0.4502],0.4502
13994,1,[47212],[0.001826],0.001826
13995,1,[16077],[1.46259],1.46259
13996,1,[36085],[0.00056],0.00056
13997,1,[39628],[0.0371462],0.0371462
13998,1,[17679],[0.04],0.04
13999,1,[47240],[2.56986114],2.56986114
14000,1,[14087],[0.0009568],0.0009568
14001,1,[7071],[0.00061613],0.00061613
14002,1,[40247],[0.965696],0.965696
14003,1,[24338],[0.723],0.723
14004,1,[199],[0.093329],0.093329
14005,1,[17808],[0.103],0.103
14006,1,[26955],[0.0035158],0.0035158
